label,text
0,经常吃，但是这次菜量是以前的一半，根本吃不饱
0,煎饼太一般了…
0,特别难吃，真的很难吃，不如街边五块钱的
0,无论如何，麻婆豆腐不应该先炸过啊⋯⋯
1,口味偏北方
0,一个半小时，可以
0,送的太慢了，等时间太长，送餐的老找不到地。
0,呵呵。。。等了两个小时。。。菜的味道不错，但是太慢了，打了好几个电话一直占线，好不容易打通了告诉我5分钟送到，结果又等了40分钟。附近上班族午休时间有限还是不要点了，人家工作你在那吃东西太尴尬了。以后不会点了。
1,很快，特别好
0,"最差的一次订餐体验,送的慢死了,东西也难吃。"
1,很值啊！用来订，味道好吃不腻。
0,"我刚刚投诉完商家，送餐员就到了,餐大概是在15点送到的，天气很热，能理解"
1,最好喝的奶茶，最给力的快递小哥。
0,时间提前太多，到吃饭的点都凉了，希望下次改善，量有些少，再增加点就好了
0,豆腐脑不给勺子。
1,很好吃。送货很准时！非常喜欢。赞赞赞
0,图片与实物不符...根本没鸡腿
0,"每次酸奶都不给我带吸管,心好累"
1,非常方便！很好！
0,好多肥肉。。肯定不是肘子肉！
0,真的太慢了，迟到一小时，所有菜都凉透了
0,太腻了，里面好多肥肉，吃完都犯恶心。。。
0,"辣白菜五花肉石锅拌饭套餐特别凉,凉的透心凉"
0,外送员很赞，商家能不能仔细看订单啊！点的干拌面送来的是汤面，说了粉汤羊血要多加辣椒送来的一点儿辣没有！！
0,没有在店里的好吃
1,大风天，骑士辛苦！好评！
0,送餐少米饭，要了三盒来了两盒，说给你和两盒了
1,能清楚的标明饺子馅就更好了！
0,一般般还很慢
0,送错主菜了，叫的宫保鸡丁送的干锅菜花，来不及只能先吃了，联系客服然而几个小时了还没退差价。
1,速度挺快，感谢送货大姐！
0,不要定这家，送餐太慢
0,送的太慢了，送餐员连路都不认识。
0,店家老板请交待店员不同馅的饺子不要混装一个盒子，我很反感这种做法。
1,很好吃，量又大！
1,配送很快！送来还是烫的！很好
0,包菜就是浸在油里面的，就是油泡包菜，拿水涮都涮不掉…也不好吃…米线凑合吧，比包菜好一点…下次不会再来了
0,一般！也不怎么样
0,拿来的花卷儿时一个月前的花卷儿吧，咬都咬不动
0,感觉现在越来越不好吃了！
1,送的超级快，送餐员很辛苦。快乐柠檬一直喜欢喝
1,豆腐脑再多点香菜就好了
1,有点辣还行吧，米饭少
0,"还不错,就是想吃两个蛋的煎饼不知道怎么算价格"
0,等了一小时，感觉量略少，一个女生勉强能吃饱，偏偏我是饭量大的女生
1,送餐越来越快啦！
0,等了那么久，都快饿死了，开餐馆的你自己去饿一个半小时试试？送过来可乐还洒了
0,好咸好咸好咸，两份菜下肚估计吃掉了2量油1量盐，虽然盐是属于腊肉的但油是属于肥肉的。不过咸到这个程度我也是醉了。送餐大叔态度很好。
0,牛肉略柴，蕃茄太多，汤也不怎样
0,番茄贡丸豆花米线以后请叫番茄贡丸米线，好吧？！想给零分差评！！！
0,不好吃！！！！速度超级慢！！！！等了将近2小时！重点是披萨都是超级凉了
0,"不少送餐高峰定的,所以很快,但是很难吃,凉的"
0,量太少了，干锅牛蛙都是辣椒都没有牛蛙，不值这个价格
0,感觉没有原来好吃了，是不是换人了！
0,百度配送快，正一味的拌饭是馊的，剩饭你们自己都不吃的居然还敢卖？！
1,"速度快,性价比超高"
0,粥尚可，饼一般
1,九点多订的餐、等了两个多小时。速度太慢了。
0,菜太少了，饼有点厚，酱汁味道浅
1,"其它都挺好,就是鸡柳煎饼太难吃了,太重口味了,吃完直恶心"
1,好快，下雨天送餐师傅辛苦了
0,多等了半个多小时才送到
0,太太太太慢了！！！2个多小时，十点多下单，1点才到
1,很好吃的，刚刚好！
0,"11点下单2点才送到,真特么服了,而且,肘子卷里面根本没肘子肉,就是普通猪肉块"
0,送了一个多小时也就算了，怎么能发图片呢？简直了，全洒了纸杯上全是泥汤子
1,今天师傅是不是手抖了，微辣格外辣！
0,还可以，就是量小点
0,每次肯定晚至少一个小时，下单了最后没送到，真是醉了，饭也给的死少。不建议大家订餐，如果非要吃，最后提前一天订，第二天再吃
0,味道还不错，点了两份套餐，说的是有豆腐脑，送来发现没有豆腐脑，电话咨询，对方还说是按单送送餐，我有特意看了下，我的单子上确实有豆腐脑！
1,也就是几块钱的东西吧，感觉标价明显是提高了的
0,饭菜质量一般般，可选的饮料种类也少
0,二十多块钱一小盒，心真黑
0,太慢了，送来都凉了，态度各种差
0,不咋好吃，快递服务不错
1,还行，挺好吃！
0,服务态度不好
1,送餐巨快！态度超级好！面条好吃！就是花生米菠菜，花生太多了！本来想吃点菜的！
1,葱花饼好吃，一份不够吃有点。建议出大小份
0,两个小时才到
0,强烈投诉！！！！！！！鸡肉都是碎头！！都是！！！！！！！！和第一次定完全不一样！点大份送来的却是一盘散沙！！明显比第一次给的少太多！！！就连米饭都不满，店家你至于吗？！？更可气青笋不到10片还都切的跟芹菜似的～回头客就是被坑！慎重吧！！！！！我是不会再点啦！！！！！坑人啊！！！！！！！
1,挺不错的，快递员找了好久才找到，很辛苦
0,什么都不想说了，什么玩意儿，再订这一家我宁愿吃翔
1,非常不错，谢谢送餐的师傅
0,慢了半小时
1,外卖小哥送的很及时，服务态度很好。给个赞！
0,一个多小时才送到，菜汤还都撒了，只给送到楼下
1,时间有点久，不过总体都还好
1,非常好吃！冰花很脆！
0,鸡翅不是奥尔良味道，排骨不新鲜，送餐慢，披萨还凑合
0,10点50订的，12点半才送来，都凉了
0,"真是奇葩宇宙卷饼外送服务。说下这家的感受，一共点过三次此家的外卖。第一次点，早上十点半不到下单，下午两点硬是没吃上饭，期间催单无数次，打电话要么不通要么通了就说送餐员一直在路上马上送到，愣是被忽悠一大中午，无语。无奈只好把当天体验在评价里留言给予差评，结果晚上下班接到店家的电话，各种不容易，服务没做好等等道歉，OK咱们也不是蛮不讲理之人，创业做生意谁都不容易，也许当天真是店里忙不过来，你让我把差评删除没问题，也希望能有所改进。第二次点餐服务还是不错的，送餐只用了50分钟而且产品的包装和配送人员都不错.,第三次点餐，也就是今天，早上10:09下单，送餐员中午1:08拿着餐急急火火的进门，一句道歉的话没说，我问了句“你家怎么送餐这么慢，都三个小时了”，送餐小哥一脸不愿意的说中午就是这么忙，那还要不要？遂忿忿离去。我去真牛，感情你送餐晚，送不到怪我喽？送的慢你不知道提前电话沟通下吗，不打电话问你们，就装着没事人一样。得了，对这家也不抱什么希望了，宇宙卷饼就是这么霸气！"
0,真的很难吃
0,这个饼真的很难吃，第一口肥肉，第二口还是肥肉，没有什么味道
1,饭提前到了，而且还弄漏了真是的
0,少发一份青笋，外卖量比较少
0,"不好吃,不好吃,非常不好吃"
0,送餐快点就更好了
1,菜有点少，饼有点干
0,"太差了！配送员把饭都撒包装袋里了,还好意思收配送费,无语了"
0,我自己去买也用不了这么长时间
1,很好的，外卖小哥很好很快的，一会儿就送到了，赞
0,不知道是商家不做还是快递员不送，2个小时才送到，餐到已经彻底凉透，很是无语
0,送餐员到了打电话，让我下楼自取。我下楼后找不着人，打电话才知道他去别的地方送餐了，让我在楼下等他，等了8分钟。我还要上班了，自己下楼取还要等他？开玩笑吧，服务太差了。咖啡还凉了。
1,三明治的沙拉酱不太好吃
0,一般般，也就顶多值优惠过的价格！
1,还可以吧！！！送餐很快
0,我真的很少给差评，这送餐员太不靠谱了吧，居然找人随便把餐带上来!
1,"鸡翅很好吃,速度一般,但是送过来还是热的,好评一发"
1,非常好的一次外卖订餐，很及时！泡菜好吃！
1,好吃，总点，这么多够五个人吃。送的很快。
0,清水煮面。啥滋味都没有
0,吃出来了头发丝呵呵呵呵
0,给的超级少，那么大一个盒子装了不到一半，连牛肉的影子都没看见，再也不来了
0,太差了，下次肯定不定
0,送餐时间太长，饭太一般了，汤是调料冲的
0,肥肉太多吃的时候还把嘴唇拿破了
0,…要的奶盖格雷没有奶盖…跟上次喝的奶盖格雷不一样…
0,"慢的不行,就是慢,绝对不黑,贼难吃,等了将近2小时,好吃也行啊"
0,不太好吃！
0,"菜量很大,送的很快,但西红柿炒鸡蛋不好吃"
0,送餐超时太慢！送到的餐全凉了！！要的套餐里没有给送薯条！！百度外卖以及汉堡王商家都太差劲了！！！
1,大哥很热情！不错!好评
0,订的12：00送餐，12：50才送到，上班族中午时间有限，请商家以后工作再细心一点。红烧牛肉套餐土豆多可以理解，但牛肉太老了嚼不动，请改进。米饭量挺多的值得表扬。
0,配送服务极其慢，从订餐到吃到东西，几乎用了2个小时，什么破玩意，再也不吃了！！！！
0,什么情况？不是已经打电话说好了取消订单吗？还给不给退款了？能不能有点信誉
0,点了两份饭就给了一盒米饭，送餐小哥打电话根本不知道他在讲什么！
1,还可以，经常订，省事
0,哇。。还好是满减买的，原价买的要哭死的了。。。一手的面皮肉好少
1,外卖给力煎饼非常给力
1,很好！送餐员也很棒！
0,"疑似送错,没奶泡,没焦糖,还撒了,送了一个半小时,商家又没超时半价,张嘴就跟我瞎话,还系统已经自动半价,送的貌似是普通拿铁,估计我那杯不知道给谁去了,为别人多花四块,呵呵"
0,太慢了，等了一个多小时
0,大酱汤什么玩意啊，特别少不说，里面都没有东西，一共就三块豆腐，千万别点了
0,并不是太好吃
0,没有优惠差评！
1,外卖小哥很赞！送的很快养乐多好喝！
0,都凉了。煎饼凉了。土豆肉卷也凉了。很难吃了！配送送的也慢，50分钟！
1,不错，很好吃。
0,好难吃，说是酥肉，其实都是大肥肉，味道也不行，第一次百度订餐，印象很差劲
0,送货速度太慢，催了好几次，菜还不错
1,都挺好的我很满意。。。
1,还行吧，素炒饼咸了，什锦炒饭淡了，醋溜木须油大了
1,肉比较多，不过比较油腻，一个感觉不是太饱
0,里面粥盒碎的，粥全撒了；只剩卷饼淹没在粥当中……
0,"难吃到吐,送餐慢，服务态度差,一张硬面皮里面裹点肉卖20～"
1,"锅包肉,还好,那个酸菜白肉竟然是大白菜,放了点醋,太难吃了,吃完就拉肚子了"
1,速度很快，态度很好，赞一个
1,快递很快，量很大，就是有点太咸了
0,菜特别少，味道特别差，以后不在定了
0,都说了米线和宽面，写了备注还送错、软软的怎么吃，
0,"送餐员非常不用心！！！！,13：15到的订单，11：45就到了。好心收了吧，发现塑料袋直接就堆在地上了，人直愣愣的站在地上！不说卫生的问题，没有恒温包装，你吃凉的饭吗？！,从来没有这样的经历，感觉你真的不配做这个工作！！,对送餐员非常不满意！！！,如果送餐员是百度的，我要考虑换app,如果是商家的，再好吃也不订了！"
0,"怎么就交易成功了？我都退餐了，我都打电话打到400了，怎么不退款给我,这平台怎么搞的"
1,商家因为某个东西售完直接取消了订单，就不能提前打个电话么，白等了半小时。
1,送餐有够慢，说是一个小时，结果快两个小时才到，我总觉得是商家一个小时才出餐，送餐时间也长
0,棍棍面送成扯面了
1,香脆鸡肉披萨很好吃，这次的料更足，满意
0,等了一个多小时，催两次单，不过客服态度还可以。
1,肉有点腻了
0,11:32下单，13:15才送达。中途催了好几次，送达之后薯条已经软了，可乐洒的只剩半杯了，很失望！望改进
1,还不错，量挺大。
1,很好，百度骑士师傅很好，很快速的送到，大赞
1,挺好吃的，凉拌木耳味道也很好
1,非常好，快递非常不错
0,我家离贵店不是很远，送餐大概一小时，菜的口感一般，价格偏贵，米饭很少，性价比一般
1,送的非常快，包装好！谢谢师傅！
0,20的套餐，4个菜，还行吧。
0,鸡肉有点腥
0,11点半定的餐，13点10分才送到，打电话催单，答复是配送员不熟悉道儿，吃的整个是冷餐，不知道留电话是干什么用的，配送员还把收的钱放在我的餐袋里，与餐巾纸放在一起，可见卫生意识太差了。
0,"什么米饭,太夹生了吧,再也不点了"
0,梅菜一般，肉还行。配菜凉拌黄瓜还行～
1,肉好多，实在，送餐没法进北医校门
0,送餐速度极慢，完全忽略备注。还好饭菜不错。
0,买过这么多外卖第一次让我去楼下取的！还显得特别理所应当！一颗星给你都多！！！
0,汤都洒得差不多了，泡菜汤实在不咋滴，被当家的一顿骂
0,"因为你们说的没看见,整整150分钟,干的漂亮,叫我以后还怎么点你们家的东西？"
0,送的挺快，不过为什么没有以前好吃了呢
1,送餐小哥速度很快，态度很好
0,口味一般。。。。
0,"无语O__O""…问苍天"
1,越来越慢了呢
1,很好吃啊！！！
0,没吃过这么难吃的水煮牛肉，刚送来吃一口就扔了。有股膻味
0,太特么难吃了，豆干里的俺村蛋都硬的
0,不是一般的慢呵呵呵呵无语了
0,注明了不要辣，可还是辣的
0,"送餐速度不是一般的慢,快两个小时才送来,宫保鸡丁饭米饭上面竟然还有咖喱"
0,辣死了，吃完整个人都不好了。。。
0,一点也不好，说了不要辣的还是给放辣椒了！
0,从点餐到送餐用了两个小时，给一星都多余。这还叫送餐么？？
0,菜挺好，就是送得速度太慢，面坨了，菜凉了，全家饿得去煮面条。
1,态度好，菜味佳
0,等了五十分钟，受不了的龟速
1,每种口味都喜欢
1,师傅服务好送货快，性价比超高
0,送餐太慢了！！！
0,小炒肉做的太差劲了！什么啊垃圾！这家菜没法吃全是芹菜太难吃了！大家不要再这家定了！米饭软
1,送餐小哥服务很好，大虾也很好吃
0,点的抹茶星冰乐，系统自动变成别的。客服沟通无效，自己出现bug居然无法更改
0,肉，豆腐，蔬菜都不新鲜、味道差极，关门少骗人吧
1,凉面味道确实不错，豆浆好喝。速度快。
1,很有创意的煎饼
1,还不错⊙▽⊙
0,糖醋里脊做成了番茄里脊，呵呵
0,送餐慢不说，汤凉了还怎么喝，送到汤都洒了一半，就是不能上图，要不让他们看看！
0,太难吃了，没味道，肉都没熟，速度还慢的要死。
1,菜品很不错，没有油腻感
0,饭菜味道不错，就是不能网上支付，只好退货，囧。
1,速度很快，下雨天师傅辛苦，味道很不错
0,你们加的香嫩牛肉小份的和大份的没有多少区别啊？大份50元才那么点！你们坑爹吗！
1,今天很冷，送来的pizza还是热的！谢谢送餐的大哥
0,土豆都是生的好吗，老板！或者你们用的土豆太水了，吃起来跟生的一样。选淀粉含量高的土豆增加不了多少成本。或者你们挑菜的时候太不认真了。
0,米线里没有放牛肉
0,越来越小了，性价比不高，而且少送饮料，包装也开始糊弄了，不会在吃了
0,"还行把,就是饮料到的时候给挤坏了，都撒了。没喝几口"
1,"快递员很好,又快又负责"
1,服务态度好，速度快，值得表扬
0,配料太多，味道一般
0,差，送餐很快，味道太难吃了
0,"换过两次套餐,都是17换16,前后2次,2块钱,都没退"
0,登了100多分钟，送餐用了2个小时
0,十点多就点菜也然并卵，十二点多才送到。好久没吃了印象中很软烂进味的手撕鸡干硬而且味道一般，因为时间久了还有点凉。可能是顾客多了不管是菜品质量还是送餐速度都下降了很多，残念，可能很久都不会再想吃了。
0,怎么这么难吃，也没个生产日期，都不知道是不是当天的
0,味道还行，就是配送太慢
1,花卷太好吃，每次都买很多。如果再增加一些粗粮就更好了。
0,我还以为是小块排骨，没想到都是肉末，看着就没胃口了。这是我对小渝府唯一一道不满意的菜！
0,照了照片发现没地方发，没发也好，太惨了，就不多说了，也没的说真是够了。
0,"送货时间比预计的40分钟晚了20分钟,1.3公里的路程,从下单到收到,共计一小时,咖啡也洒出来了,不知道该说什么,很想给差评！果断卸载百度外卖！"
1,这次很快，不错，赞了！
0,你们店赶紧关门整顿吧！有1公分长的蟑螂，真是对你们店无语！要不传照片上去看看！
1,"帅,够快,对我胃口"
0,太差了，尤其是送餐员态度！不会在来了，全各位慎重，态度也就不说了，里面的粥都撒了，我就呵呵了
0,送的很慢送来的时候凉了
1,确实很快，食物也不错，比吉野家便宜。好好好。
1,"很快很快,但是南瓜羹很难喝"
0,我点了加的东西？肥牛？里脊什么的，2块钱就一片？好吧，这也没啥，好歹你筷子得给我吧？
0,s送餐太慢
0,味道真的很一般
0,口味可以，量不大。鸡块一般
0,比别人先定的还比别人后到是什么原因
0,百度骑士很快，从取餐到送达15分钟，商家忘了配送鸭饼，派自己人送，从第一个电话到送达用时一小时二十分钟，期间通话五六次，送达时鸭饼已冰凉，鸭子当然也凉，很失败的晚餐，商家管理有待加强。
1,很好吃，方便
1,包装很好，味道也还可以，就是名字太俗
1,非常好吃，味道也很香，推荐！
0,送的饮料没有，说是下次补送，呵呵，谁知道你送不送
0,"一般般吧,好多肥肉的赶脚"
1,非常好，现在每天都喝，下午一杯柠檬绿茶提神醒脑
0,"点了宽粉,但是没放,点的饭里面没有米饭,另外加了六块"
0,速度不是一般的慢
0,送的太慢了，饭菜都凉了
0,菜很难吃！非常难吃，而且还特别咸，我是北方人都吃不下，以后不会再来了。唯一欣慰就是配送小哥还不错，态度很好。
1,味道还是可以哒，肘子好香，青椒的量也恰到好处。就是送餐太慢了，两个多小时才到。第一次来时我正在上课没有取到，送餐的叔叔下课后又来了，还给我换了热的肘子卷，态度好评。
1,送餐超级慢啊，味道很好
0,好小啊，味道也不是我喜欢的。
1,卷饼看着很小但是很占肚子很好吃
0,鸡肉卷饼挺好吃，肘子肉的不好吃，没有肘子就是小炖肉加青椒。木耳不太好吃，味道怪怪的。
1,不错，很好！！！
0,饭菜很可口，就是大拌菜很难吃，第一次送来时，大拌菜你什么都没有，然后送餐的又给送了一次调料，拌好以后特别难吃，调料里酱油太多了，根本没法吃。
1,很好吃，谢谢
1,菜味道不错哦！快递小哥也超赞，送货速度超快，态度超好，菜送过来时热腾腾的！
1,送餐速度超快，人长得也帅，很棒的服务！感谢让我这么晚还能吃上热的饭菜。
0,真的很慢。。。
0,凉皮没放盐，一点味道都没有，不满意的一次外卖
1,很酷的宇宙卷饼，包装高级，分量足
0,鸡块里一半是鸡脖子……
0,晚到15分钟，还少送了一个鸡腿。差！
1,早餐首选，快递小哥准时
0,还未送达，而且已经超时
1,好吃挺快的
1,粥特别实惠，还有卷饼
0,送的这么慢还请假啥。
1,送的有点晚，挺好吃
0,速度够慢的
1,好吃，肉很多，连续两天都吃这个
1,买少了。没吃够。下次多要点。送过来薄脆还是脆的
0,送餐太慢，没有给我打5折
0,"小两个小时送到,而且真的很难吃"
0,"特别油不好吃,基本没有牛肉,有几条肉丝,不超过3"
0,差评，真的不是想吐槽。我也是个差不多就行的人，不过这个也差太多了。订单100多分钟才送到，期间多次打电话催促回应也只是催单，这也就算了，说好的不要葱花香菜等100分钟送来的还是带的，而且送来以后煎饼都软了。我平时差不多的都是给满分，但今天这种情况真是得吐槽一下了。
0,现场吃的时候凉菜不写收费，等你拿了，告诉你收费！为什么不明码标价！
0,哥们，订好几次啦！越给越少，就一层底，店里面给的多，外卖为什么就量少？不公平，一样花钱...百度和店家沟通一下吧.太少了，塞牙缝....
1,非常快，态度好。
1,今天还是很快的。。。。
0,等了好久好久。。。。
1,"挺快的,为啥没有南瓜饼卖啊"
0,第一次见服务态度这么差的，点了一份套餐和一根烤肠，烤肠居然直接就没有送过来，送到的时候饭菜都凉了，也是我吃过的最难吃的梅菜扣肉，再也不订他家的了！！！
0,配送太太太慢了
0,适饭量小的
1,没我想象的大，只有一个卷好了的，差点不够吃！
1,送餐很快！服务不错！
0,送餐很快，点的意大利面，比较硬，味道一般。
0,这次有点小失望，奶茶弄到杯子外面了，希望下次注意！披萨还是热乎的！
1,谢谢百度骑士辛苦的送餐
0,青椒好生…送餐好慢…
0,今天外卖的速度真是大失所望！
0,差评差评，时间太长，时间将近2个小时
0,高峰期点菜，质量就差点。
1,红油抄手不错
0,自作孽不可活，说了以后再也不定这家，我就是手欠！
0,关东煮没有了，打来电话换了藕盒，很一般，怀疑藕盒不是和合谷家的
1,还不错的，很快。
1,量有点小，肉也不怎么好吃，主要是酱好
0,不如实体店的好吃
0,此次肉相对以前很少
0,菜的味道略怪，总觉得不新鲜
0,丸子特别多、几乎都是
0,吉吉熊从来都不看备注的，从来不给勺子，说了一万次要勺子一次都不给的，还让我凑合。一次不给勺子我凑合就算了，这已经是我第三次订餐写了要勺子不给勺子了！我的订单记录每次都写了要勺子从来都不看这是最后一次了，下次再不给勺我退订！我是忍不了了，谁爱忍谁忍去。
0,还可以不用优惠卷太贵了
0,口感真心一般，下次不买了
1,好吃！终于让我吃上了！
0,不到800米的距离，取餐到送到居然用了1个小时，面都坨成一坨了
0,点的茴香猪肉送成了白菜猪肉的
1,好吃，下次还会在吃的
1,配送师傅好和善！辛苦啦！
1,非常满意，感谢送货员和商家！
0,土豆都没熟！牛肉做的太老了～
1,凉面有些油
0,太差了，就不能在百度外卖定，一点信誉都没有，
0,奶盖红茶送成柠檬红茶，给你们打电话后说要给我回话然后等到现在也没有
0,居然没给我南瓜粥！居然我昨天忙工作，忘记自己点了南瓜粥！还我的6块钱！只给我拿了卷饼！
0,拌饭酱放的太多。难吃。建议这个酱可以做出小包装，客人自己加放。
0,我现在修改一下。就在下午6点8分，我接到了小鱼府客服的电话，她通知我因为今天已经下过一次单了，所以无法再次享受减免活动。在我做出取消订单的决定之后，她说了一句，好，那你今天别吃饭了。我几乎很少给差评。但是这件事不好意思，接下来我要向百度投诉。请小鱼府注意查收
1,"速度很快,味道很好,很赞"
0,送到速度慢，菜一般
1,送达晚了些，但是送了一瓶饮料，心情舒缓了些，好评
0,可能是因为远，汤都在盒子外面，鸡肉饭的味道一般
1,卷饼好大，味道还不错，吃着有点撑
1,菜肉馄饨和汤分别包装，这一点很赞！
1,"味道不错,配送速度比预计快"
0,小炒肉整成回锅肉~~~~~、
0,送过来我一看傻眼了，太次了，下次不要这家的了，整个糊弄人呢。
1,味道不错，口味偏甜
0,这次的凉了，很难吃，短期内不会再点
1,最爱阿田，很好吃！送的也很快！
1,口味还可以，肥牛入味还行
0,等待时间太长了，快70分钟，自己过去吃都回来了
1,本次订餐很愉快！
0,送餐晚了半个小时，也没报价。东西都洒了。
1,非常贴心，送餐四十分钟，小哥沟通四秒钟，飞一样的小哥。说还有好多没送。下次再定。
1,大热天的，谢谢配送小哥了
1,速度超快。服务好，超预期。
0,饿晕了，一小时四十分钟，这得屎嘛精神才能吃上这顿饭呀！！！！！
0,外卖员把汤全洒了，菜还是凉的！绝对差评
0,京酱肉丝咸的不能再咸
1,还不错，送的很及时，煎饼不错，豆腐脑能加个醋包，辣椒神马的就完美了
1,里面有蘑菇。总体不错啦
0,吃了拉肚子
1,还可以，家常味道。下饭
0,这次的不好吃，等了一个多小时，送货太忙慢！
1,送货的小哥服务超好的
0,"皮厚,菜少粥不满"
0,干啥玩意吃的！餐厅都找不到还出来送！都没取餐还显示取餐了！菜品一般
0,为什么没有辣椒
0,144分钟，足足两个多小时。木有筷子。不会再定。
1,送餐快递很给力，饭菜都热着呢，鲜肉小笼包和红烧肉都不错
0,点的卤肉饭和牛肉丸，都很好吃，可是没有勺子，我让开发票了，也没有给开发票，而且我是17:15下单，17:16商家确认订单，直到19:02还未送到，我电话查询后，告知说漏单了，我只是实话实说一下，没别的意思，在中关村这家吉吉熊订餐十多次了，这次是等最久的一次，但是可以被原谅，谁都有失误的时候。希望店家以后注意下，我以后还是会在你家订餐的，因为饭很好吃。
0,压根没送到，也是醉了，说好的饭呢
0,整整100分钟才送到。。。
1,感觉是秒到啊
1,南瓜粥一般，没有南瓜的香甜味道！
0,忘了配送卤蛋！
0,跟上次的不一样了
